,序号,机构名称,从业人员数,一般证券业务,证券投资咨询业务(其他),证券经纪业务营销,证券经纪人,证券投资咨询业务(分析师),证券投资咨询业务(投资顾问),保荐代表人,投资主办人,机构ID
0,1,爱建证券有限责任公司,1326,709,0,3,538,7,52,7,10,1999082
1,2,安信证券股份有限公司,8924,6081,0,190,1588,74,883,97,11,1999145
2,3,北京高华证券有限责任公司,135,98,0,0,0,16,21,0,0,1999142
3,4,渤海汇金证券资产管理有限公司,147,122,0,0,0,0,0,0,25,609
4,5,渤海证券股份有限公司,1796,1263,0,33,330,24,134,12,0,1999115
5,6,财达证券股份有限公司,2351,1662,0,14,467,22,161,6,19,1999040
6,7,财富证券有限责任公司,2735,1382,0,25,968,15,321,7,17,1999053
7,8,财通证券股份有限公司,3587,2278,0,2,840,35,393,39,0,1999016
8,9,长城国瑞证券有限公司,742,556,0,3,124,4,28,11,16,1999020
9,10,长城证券股份有限公司,4076,2289,0,1,1316,31,344,57,38,1999107
10,11,长江证券承销保荐有限公司,328,272,0,0,0,0,0,56,0,1999137
11,12,长江证券股份有限公司,7957,3893,0,104,2630,83,1247,0,0,1999049
12,13,川财证券有限责任公司,456,338,0,0,68,9,29,5,7,1999110
13,14,大通证券股份有限公司,1303,630,0,14,531,4,111,5,8,1999017
14,15,大同证券有限责任公司,1669,750,0,0,594,2,311,5,7,1999077
15,16,德邦证券股份有限公司,1111,953,0,1,46,9,59,23,20,1999012
16,17,第一创业证券承销保荐有限责任公司,125,106,0,0,0,0,0,19,0,1999156
17,18,第一创业证券股份有限公司,3391,1092,0,12,2079,1,182,0,25,1999108
18,19,东北证券股份有限公司,3886,2238,0,0,969,49,590,39,1,1999055
19,20,东方花旗证券有限公司,462,389,0,0,0,0,0,73,0,1999159
20,21,东方证券股份有限公司,4453,2914,0,17,948,56,518,0,0,1999086
21,22,东海证券股份有限公司,2494,1449,0,0,809,26,175,16,19,1999063
22,23,东吴证券股份有限公司,3422,1921,0,7,1055,44,317,62,16,1999060
23,24,东兴证券股份有限公司,2876,2184,0,4,179,28,387,68,26,1999148
